                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97374,                 2.2238,                 1.3736,                0.46347,                0.46481,                0.47465,                 0.2636,                 1.0249,                 2.9257,                 1.4718,              0.0002858,              0.0002858,              0.0002858
                      2,                0.97105,                 2.0553,                 1.3653,                 0.5167,                0.57425,                0.58505,                0.39783,                 1.2821,                 2.7792,                 1.7434,             0.00055689,             0.00055689,             0.00055689
                      3,                 1.0528,                 1.9584,                 1.4054,                0.51184,                 0.4492,                0.42673,                0.23826,                 1.4688,                  3.318,                 1.9143,             0.00079827,             0.00079827,             0.00079827
                      4,                 1.1175,                 1.9436,                 1.4476,                0.44317,                0.50802,                0.44226,                0.24544,                 1.3305,                 2.9303,                 1.9922,              0.0010099,              0.0010099,              0.0010099
                      5,                 1.1945,                 1.9876,                 1.5088,                0.41604,                0.58103,                0.40786,                0.26601,                 1.2018,                 3.3062,                 1.7261,              0.0011461,              0.0011461,              0.0011461
                      6,                 1.1974,                 2.0228,                 1.5345,                0.35185,                0.32799,                 0.3167,                0.21373,                 1.3485,                 4.1466,                 1.9271,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.1113,                 1.9128,                 1.4712,                0.79214,                0.29947,                0.34937,                 0.1952,                 1.3451,                 3.5032,                 1.9213,              0.0010753,              0.0010753,              0.0010753
                      8,                  1.229,                 1.8644,                 1.5472,                0.38487,                0.28877,                0.25343,                0.18592,                 1.2601,                 3.3019,                 1.7798,              0.0010046,              0.0010046,              0.0010046
                      9,                 1.0687,                 1.6097,                 1.4237,                0.46108,                0.50344,                0.45279,                0.30813,                 1.2345,                 2.8018,                 1.7269,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.0862,                  1.639,                 1.4078,                0.52696,                0.67023,                0.60699,                 0.3456,                 1.2568,                 2.0388,                  1.736,             0.00086312,             0.00086312,             0.00086312
                     11,                  1.082,                 2.1616,                 1.4903,                0.51876,                0.54189,                0.47324,                0.32295,                 1.3267,                 2.8033,                 1.7456,             0.00079238,             0.00079238,             0.00079238
                     12,                 1.0742,                 1.9717,                  1.449,                0.68781,                0.63394,                 0.6078,                0.42735,                 1.0695,                 2.2133,                 1.5873,             0.00072164,             0.00072164,             0.00072164
                     13,                0.98154,                 1.6762,                 1.3728,                0.73844,                0.63596,                0.63852,                0.47391,                0.96544,                 1.9957,                 1.4452,             0.00065091,             0.00065091,             0.00065091
                     14,                0.91606,                 1.5752,                 1.2938,                0.57001,                0.71504,                0.63405,                0.39398,                 0.9806,                 1.8267,                  1.498,             0.00058017,             0.00058017,             0.00058017
                     15,                0.86928,                 1.4515,                 1.3049,                0.80216,                0.56278,                0.69099,                0.48094,                0.97368,                 1.6684,                 1.4397,             0.00050944,             0.00050944,             0.00050944
                     16,                0.91655,                 1.5111,                 1.2804,                0.60488,                0.72496,                0.64124,                0.45614,                0.97163,                 1.6619,                 1.4052,              0.0004387,              0.0004387,              0.0004387
                     17,                0.79993,                 1.2695,                 1.2238,                0.58684,                0.74614,                0.67992,                0.52006,                0.86335,                 1.4907,                  1.324,             0.00036797,             0.00036797,             0.00036797
                     18,                0.83795,                 1.2202,                 1.3014,                0.54638,                 0.7527,                0.65579,                0.50713,                0.80908,                 1.5113,                 1.2996,             0.00029723,             0.00029723,             0.00029723
                     19,                0.78504,                 1.2365,                 1.1952,                0.68224,                0.61706,                0.66272,                0.52091,                0.79606,                 1.4563,                 1.2974,              0.0002265,              0.0002265,              0.0002265
                     20,                0.73182,                 1.0735,                 1.1545,                0.73354,                0.65319,                0.67489,                0.52169,                0.77966,                 1.3937,                 1.3071,             0.00015576,             0.00015576,             0.00015576
